user_id,username,email,country,birth_year,registered_at,account_status
u_0000001,user_0000001,user_0000001@gamehub.example,FI,1990,2025-03-28T11:21:41Z,active
u_0000002,user_0000002,user_0000002@gamehub.example,US,,2026-02-28T14:22:08Z,active
u_0000003,user_0000003,user_0000003@gamehub.example,au,1987,2026-01-28T12:30:19Z,active
u_0000004,user_0000004,user_0000004@gamehub.example,NO,1992,2025-11-22T20:24:58Z,active
u_0000005,user_0000005,user_0000005@gamehub.example,ES,1984,2025-05-05T00:15:55Z,active
u_0000006,user_0000006,user_0000006@gamehub.example,US,1997,2025-03-21T09:20:15Z,active
u_0000007,user_0000007,user_0000007@gamehub.example,IT,1999,2025-02-03T17:58:29Z,active
u_0000008,user_0000008,user_0000008@gamehub.example,KR,1979,2026-04-26T10:02:37Z,active
u_0000009,user_0000009,user_0000009@gamehub.example,US,1981,2025-08-13T18:34:57Z,active
u_0000010,user_0000010,user_0000010@gamehub.example,PL,1988,2025-10-11T08:57:53Z,active
u_0000011,user_0000011,user_0000011@gamehub.example,AU,2009,2025-02-25T11:02:21Z,active
u_0000012,user_0000012,user_0000012@gamehub.example,GB,2010,2025-10-22T17:33:43Z,active
u_0000013,user_0000013,user_0000013@gamehub.example,NO,1995,2025-02-13T10:45:32Z,active
u_0000014,user_0000014,user_0000014@gamehub.example,JP,2006,2026-03-17T13:00:08Z,active
u_0000015,user_0000015,user_0000015@gamehub.example,FR,1990,2025-12-23T09:37:06Z,active
u_0000016,user_0000016,user_0000016@gamehub.example,ES,2000,2026-03-31T01:28:21Z,deleted
u_0000017,user_0000017,user_0000017@gamehub.example,TR,1978,2025-04-18T10:41:26Z,active
u_0000018,user_0000018,user_0000018@gamehub.example,ES,1999,2025-05-05T06:16:50Z,deleted
u_0000019,user_0000019,user_0000019@gamehub.example,GB,1975,2026-02-15T23:24:22Z,active
u_0000020,user_0000020,user_0000020@gamehub.example,GB,1996,2026-02-22T01:51:08Z,active
u_0000021,user_0000021,user_0000021@gamehub.example,FI,1991,2025-12-19T10:01:22Z,active
u_0000022,user_0000022,user_0000022@gamehub.example,DE,1994,2026-01-30T07:52:20Z,active
u_0000023,user_0000023,user_0000023@gamehub.example,FR,1985,2025-06-04T11:58:18Z,active
u_0000024,user_0000024,user_0000024@gamehub.example,FI,,2026-02-16T22:30:32Z,active
u_0000025,user_0000025,user_0000025@gamehub.example,NO,2011,2025-08-27T20:28:43Z,active
u_0000026,user_0000026,user_0000026@gamehub.example,US,2009,2026-01-13T11:31:07Z,active
u_0000027,user_0000027,user_0000027@gamehub.example,IN,2008,2026-01-05T03:54:20Z,active
u_0000028,user_0000028,user_0000028@gamehub.example,IN,1987,2025-06-14T12:12:16Z,active
u_0000029,user_0000029,user_0000029@gamehub.example,IT,2003,2025-10-18T01:03:45Z,active
u_0000030,user_0000030,user_0000030@gamehub.example,FI,1989,2025-09-20T14:22:18Z,active
u_0000031,user_0000031,user_0000031@gamehub.example,NO,1977,2025-02-15T17:29:11Z,active
u_0000032,user_0000032,user_0000032@gamehub.example,GB,1988,2025-07-04T20:43:40Z,active
u_0000033,user_0000033,user_0000033@gamehub.example,CN,2005,2026-03-20T13:00:53Z,active
u_0000034,user_0000034,user_0000034@gamehub.example,ES,2001,2025-03-17T06:55:16Z,active
u_0000035,user_0000035,user_0000035@gamehub.example,RU,1996,2025-03-18T10:38:31Z,active
u_0000036,user_0000036,user_0000036@gamehub.example,SE,1983,2025-05-29T19:29:52Z,active
u_0000037,user_0000037,user_0000037@gamehub.example,US,2010,2025-07-14T00:43:46Z,active
